id,name,type,age,rank,representation,position
th,Thomas Hitzlsperger,0,38,v,s,vo
sh,Stefan Heim,0,50,v,w,m
jr,Jochen Röttgermann,0,54,v,w,m
os,Oliver Schraft,0,53,v,k,m
cv,Claus Vogt,0,51,ar,p,vo
wp,Wilfried Porth,0,62,ar,e,st
ra,Rainer Adrion,0,67,ar,ver,m
dbg,Dr. Bernd Gaiser,0,59,ar,ver,m
hj,Hartmut Jenner,0,55,ar,ver,st
ho,Hermann Ohlicher,0,71,ar,ver,m
fr,Franz Reiner,0,53,ar,ver,m
dbs,Dr. Bertram Sugg,0,55,ar,ver,m
vfbag,VfB Stuttgart 1893 AG,1,na,na,na,na
vfbreha,VfB Reha-Welt GmbH,1,na,na,na,na
sn,Stadion NeckarPark GmbH & Co. KG,1,na,na,na,na
vfba,VfB Stuttgart Arena Betriebs GmbH,1,na,na,na,na
vfbm,VfB Stuttgart Marketing GmbH,1,na,na,na,na
vfbb,VfB Stuttgart Beteiligungs-GmbH,1,na,na,na,na
wf,Württembergischen Fußballverbands,1,na,na,na,na
dfl,Deutschen Fußball Liga (DFL),1,na,na,na,na
vfbev,VfB Stuttgart 1893 e.V.,1,na,na,na,na
dag,Daimler AG,1,na,na,na,na
ak,Alfred Kärcher SE & Co. KG.,1,na,na,na,na
akf,Alfred-Kärcher-Förderstiftung,1,na,na,na,na
dmag,Daimler Mobility AG,1,na,na,na,na
rb,Robert Bosch GmbH,1,na,na,na,na
